price|quantity|type|timestamp
4549000|3.56|1|2024-04-27 17:02:10.355788
4550000|0.5496|1|2024-04-27 17:02:10.355788
4551000|22.56|1|2024-04-27 17:02:10.355788
4552000|4.9946|1|2024-04-27 17:02:10.355788
4553000|4.001|1|2024-04-27 17:02:10.355788
4549000|3.56|1|2024-04-27 17:02:15.513618
4550000|0.5496|1|2024-04-27 17:02:15.513618
4551000|22.56|1|2024-04-27 17:02:15.513618
4552000|4.9946|1|2024-04-27 17:02:15.513618
4553000|4.001|1|2024-04-27 17:02:15.513618
4549000|3.56|1|2024-04-27 17:02:20.619754
4550000|0.5496|1|2024-04-27 17:02:20.619754
4551000|22.56|1|2024-04-27 17:02:20.619754
4552000|4.9946|1|2024-04-27 17:02:20.619754
4553000|4.001|1|2024-04-27 17:02:20.619754
4549000|3.4994|1|2024-04-27 17:02:25.745860
4550000|0.5496|1|2024-04-27 17:02:25.745860
4551000|22.56|1|2024-04-27 17:02:25.745860
4552000|4.9946|1|2024-04-27 17:02:25.745860
4553000|4.001|1|2024-04-27 17:02:25.745860
4550000|3.56|1|2024-04-27 17:02:30.875943
4551000|15.0|1|2024-04-27 17:02:30.875943
4552000|7.561|1|2024-04-27 17:02:30.875943
4553000|4.001|1|2024-04-27 17:02:30.875943
4554000|11.0518|1|2024-04-27 17:02:30.875943
4550000|3.56|1|2024-04-27 17:02:35.984723
4551000|15.0|1|2024-04-27 17:02:35.984723
4552000|7.561|1|2024-04-27 17:02:35.984723
4553000|4.001|1|2024-04-27 17:02:35.984723
4554000|11.0518|1|2024-04-27 17:02:35.984723
4552000|0.5439|1|2024-04-27 17:02:41.093800
4553000|22.561|1|2024-04-27 17:02:41.093800
4554000|4.0031|1|2024-04-27 17:02:41.093800
4555000|4.4398|1|2024-04-27 17:02:41.093800
4556000|5.8365|1|2024-04-27 17:02:41.093800
4552000|0.001|1|2024-04-27 17:02:46.207351
4553000|0.5373|1|2024-04-27 17:02:46.207351
4554000|18.0031|1|2024-04-27 17:02:46.207351
4555000|7.561|1|2024-04-27 17:02:46.207351
4556000|4.009|1|2024-04-27 17:02:46.207351
4552000|0.001|1|2024-04-27 17:02:51.315571
4553000|3.561|1|2024-04-27 17:02:51.315571
4554000|18.0031|1|2024-04-27 17:02:51.315571
4555000|7.561|1|2024-04-27 17:02:51.315571
4556000|4.009|1|2024-04-27 17:02:51.315571
4552000|0.001|1|2024-04-27 17:02:56.423620
4553000|3.561|1|2024-04-27 17:02:56.423620
4554000|18.0031|1|2024-04-27 17:02:56.423620
4555000|7.561|1|2024-04-27 17:02:56.423620
4556000|4.009|1|2024-04-27 17:02:56.423620
4552000|0.001|1|2024-04-27 17:03:01.533721
4553000|3.561|1|2024-04-27 17:03:01.533721
4554000|15.0031|1|2024-04-27 17:03:01.533721
4555000|7.561|1|2024-04-27 17:03:01.533721
4556000|4.009|1|2024-04-27 17:03:01.533721
4552000|0.001|1|2024-04-27 17:03:06.641050
4553000|0.001|1|2024-04-27 17:03:06.641050
4554000|0.0031|1|2024-04-27 17:03:06.641050
4555000|20.2817|1|2024-04-27 17:03:06.641050
4556000|4.009|1|2024-04-27 17:03:06.641050
4552000|0.001|1|2024-04-27 17:03:11.755423
4553000|0.001|1|2024-04-27 17:03:11.755423
4554000|1.7238|1|2024-04-27 17:03:11.755423
4555000|18.561|1|2024-04-27 17:03:11.755423
4556000|4.009|1|2024-04-27 17:03:11.755423
4552000|0.001|1|2024-04-27 17:03:16.871107
4553000|0.001|1|2024-04-27 17:03:16.871107
4554000|0.0031|1|2024-04-27 17:03:16.871107
4555000|15.001|1|2024-04-27 17:03:16.871107
4556000|4.009|1|2024-04-27 17:03:16.871107
4553000|0.001|1|2024-04-27 17:03:21.980650
4554000|0.0031|1|2024-04-27 17:03:21.980650
4555000|15.001|1|2024-04-27 17:03:21.980650
4556000|3.009|1|2024-04-27 17:03:21.980650
4557000|4.2453|1|2024-04-27 17:03:21.980650
4553000|0.001|1|2024-04-27 17:03:27.094501
4554000|0.0031|1|2024-04-27 17:03:27.094501
4555000|0.001|1|2024-04-27 17:03:27.094501
4556000|15.009|1|2024-04-27 17:03:27.094501
4557000|7.8053|1|2024-04-27 17:03:27.094501
4554000|0.0031|1|2024-04-27 17:03:32.218296
4555000|0.001|1|2024-04-27 17:03:32.218296
4556000|0.009|1|2024-04-27 17:03:32.218296
4557000|15.2453|1|2024-04-27 17:03:32.218296
4558000|8.3028|1|2024-04-27 17:03:32.218296
4554000|0.0031|1|2024-04-27 17:03:37.330095
4555000|0.001|1|2024-04-27 17:03:37.330095
4556000|0.009|1|2024-04-27 17:03:37.330095
4557000|18.8053|1|2024-04-27 17:03:37.330095
4558000|4.7428|1|2024-04-27 17:03:37.330095
4555000|0.001|1|2024-04-27 17:03:42.451325
4556000|0.009|1|2024-04-27 17:03:42.451325
4557000|18.8053|1|2024-04-27 17:03:42.451325
4558000|4.7428|1|2024-04-27 17:03:42.451325
4559000|8.2236|1|2024-04-27 17:03:42.451325
4555000|0.001|1|2024-04-27 17:03:47.576881
4556000|0.009|1|2024-04-27 17:03:47.576881
4557000|18.8053|1|2024-04-27 17:03:47.576881
4558000|4.7428|1|2024-04-27 17:03:47.576881
4559000|8.2236|1|2024-04-27 17:03:47.576881
4555000|0.001|1|2024-04-27 17:03:52.685745
4556000|0.009|1|2024-04-27 17:03:52.685745
4557000|18.8053|1|2024-04-27 17:03:52.685745
4558000|4.7428|1|2024-04-27 17:03:52.685745
4559000|8.2236|1|2024-04-27 17:03:52.685745
